HITId,Input.babel_id1,Input.babel_id2,Input.babel_jaccard,Input.babel_edit,Input.babel_bert,Input.mrpc_quality,Input.mrpc_id1,Input.mrpc_id2,Input.permutation,babel_answer,mrpc_answer,att_answer,babel_sent1,babel_sent2,mrpc_sent1,mrpc_sent2,att_sent1,att_sent2,most_equiv,least_equiv,best_example
3S1L4CQSFW417S85X244TTFO1R6FAR,188,35,0.956521739130435,16,0,1,748620,748510,BAM,5,5,0,Not being able to take a breath was the cause of John 's loss of life.,John became dead because he could not inhale air.,"New building hasn 't put any drag on the skyrocketing median home price , up 14.8 percent to $ 364,000 in April from a year ago .","New construction has not put a drag on the skyrocketing median home price , which is $ 364,000 in April , up 14.8 percent from a year ago .",How will Donald Trump getting elected as the President of the United States affect the relations of the USA and India?,I took the water bottle out of the backpack so that it would be lighter.,M,A,A
3ZXV7Q5FJANP0753HG0VZO5C1URCFQ,195,34,0.956521739130435,16,0,1,3270328,3270370,BMA,5,3,0,Not being able to inhale air was the cause of the loss of John 's life.,John became dead because he could not take a breath.,Forecasters said warnings might go up for Cuba later Thursday .,Watches or warnings could be issued for eastern Cuba later on Thursday .,Do the new Apple AirPods headphones work with Android?,The table won't fit through the doorway because it is too narrow.,M,M,B
3SZYX62S5FZRMTHIKNFBXQMLBPM759,196,34,0.956521739130435,16,0,1,3046537,3046639,ABM,5,3,0,Not being able to inhale air was the cause of the end of John 's life.,John became dead because he could not take a breath.,""" The Domino application server is going to be around for at least the next decade . """,""" The Domino application server will be around for the next decade , "" he said .","What is the angle made by the minute hand and the hour hand, if the clock shows 8:30 pm?",I took the water bottle out of the backpack so that it would be handy.,B,A,B
39HYCOOPKNK5B93Y3ZZJEK73JVFMD7,233,34,0.956521739130435,16,0,1,1856960,1856922,AMB,5,3,0,The result of John 's inability to inhale air was the end of the life of him.,John became dead because he could not take a breath.,""" Spending taxpayer dollars to create terrorism betting parlors is as wasteful as it is repugnant , "" they announced at a press conference yesterday .",""" Spending taxpayer dollars to create terrorism betting parlors is as wasteful as it is repugnant , "" Wyden and Dorgan said Monday in a letter to the Pentagon .",How can I reduce my belly fat taking into account the fact that I hardly get any time to exercise?,The firemen arrived after the police because they were coming from so far away.,B,A,B
3VLL1PIENPNWEDT68X3TXGFB2D4OZN,34,137,0.956521739130435,15,1,1,1315900,1315973,MAB,5,3,0,John became dead because he could not take a breath.,The cause of the loss of John 's life was his inability to inhale air.,The third case involved contracts signed by Sierra Pacific Resources SRP.N utility Nevada Power Co. and two municipal utilities .,A separate case seeking to renegotiate contracts was filed by Sierra Pacific Resources SRP.N utility Nevada Power Co. and two municipal utilities .,What can I do now that Picasa is fully integrated into Google+ Photos?,Frank was upset with Tom because the toaster he had sold him didn't work.,B,M,A
335HHSX8CC4JJV2NC2J6MFZ729GHDT,34,140,0.956521739130435,15,1,1,2968215,2968166,MBA,5,4,0,John became dead because he could not take a breath.,The cause of the end of John 's life was his inability to inhale air.,Police and school officials agreed last week to step up police presence in response to reports of increased violence and gang activity .,Police met with school officials Oct. 24 and agreed to increase their presence after reports of increased violence and gang activity .,"How long, on average, is the duration of a televised college basketball game?",I poured water from the bottle into the cup until it was empty.,M,A,B
3KI0JD2ZU0HN5XHWP6PGPW0L7KX76P,34,194,0.956521739130435,15,1,1,2320049,2320007,BAM,5,5,0,John became dead because he could not take a breath.,Not being able to inhale air was the cause of John 's loss of life.,"Last year , Congress passed similar , though less expensive , buyout legislation for peanut farmers , ending that Depression-era program .","Last year , Congress passed similar , though less expensive , buyout legislation for peanut farmers to end that program that also dated from the Depression years .","If someone was suing me, what would happen if I didn't show up to the court hearing?",I put the cake away in the refrigerator.,M,A,B
3VGZ74AYTFFVE71YS06DH95O29RCGP,34,392,0.956521739130435,15,1,1,1245561,1245666,BMA,4,4,0,John became dead because he could not take a breath.,The end of the life of John resulted from him being unable to inhale air.,"After Saddam 's regime crumbled in early April , it had to wait for legal hurdles to be crossed before sales could resume .","After Saddam 's regime crumbled in early April , legal hurdles had to be cleared before sales could resume .",What is the economics of recycled paper production and its advantages over paper produced from trees?,"It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size.",M,A,B
3ATYLI1PRS16EYO2QB079MRLJFRJOX,35,136,0.956521739130435,15,1,1,2011668,2011806,ABM,5,5,0,John became dead because he could not inhale air.,The cause of the loss of John 's life was his inability to take a breath.,"Several witnesses have told the court Bashir heads JI , accused of seeking to create an Islamic state in the region .","A number of witnesses have told the court Bashir heads Jemaah Islamiah , accused of wanting an Islamic state in the region .",How hard is it for a good Java developer with several years experience and an MSc to immigrate to Australia?,The foxes are getting in at night and attacking the chickens.,B,A,B
3EKZL9T8Y7L9E3W9C6OV29HPH94CHO,35,139,0.956521739130435,15,1,1,1269483,1269432,AMB,5,5,0,John became dead because he could not inhale air.,The cause of the end of John 's life was his inability to take a breath.,"The four suspects are scheduled to appear in court Tuesday or Wednesday , said Philip Murgor , Kenya 's deputy public prosecutor .","All four are expected to appear in court Tuesday or Wednesday , he said .",What is the best hypothesis on how the pyramids were built?,"Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.",M,A,B
3IKDQS3DQDZ9AY7TIO6G2LI4HMJCIH,35,225,0.956521739130435,15,0,1,1591389,1591595,MAB,5,5,0,John became dead because he could not inhale air.,The result of John 's inability to take a breath was the loss of his life.,An arrest warrant claimed Bryant assaulted the woman June 30 at a hotel .,"According to an arrest warrant , Bryant , 24 , attacked a woman on June 30 .",Can someone provide a gigantic family tree from Adam and Eve to Jesus to 2016?,Jane knocked on Susan's door but she did not get an answer.,M,A,B
3S8APUMBJWI6Q2DX3G40O4ZUJ9RFBM,35,226,0.956521739130435,15,1,1,1240372,1240326,MBA,5,5,0,John became dead because he could not inhale air.,The result of John 's inability to take a breath was the end of his life.,"Revenues for "" The Hulk "" came in well below those of last month 's Marvel Comics adaptation , "" X2 : X-Men United , "" which grossed $ 85.6 million in its opening weekend .","The Hulk trailed last month 's Marvel Comics adaptation , X2 : X-Men United , which grossed $ 85.6-million in its opening weekend .",What is the process to determine the density of aluminum and how does tin compare?,Bob was playing cards with Adam and was way ahead.,M,A,M
3UZUVSO3P6UA3FHYZUA3K2POJ7GME0,35,244,0.956521739130435,15,1,1,479412,479618,BAM,4,3,2,John became dead because he could not inhale air.,The loss of John 's life was the result of his inability to take a breath.,"The others were ABN AMRO AAH.AS , ING ING.AS , Goldman Sachs GS.N and Rabobank [ RABN.UL ] .","The five main banks are ABN AMRO AAH.AS , ING ING.AS , J.P. Morgan JPM.N , Goldman Sachs GS.N and Rabobank [ RABN.UL ] .",How much does it cost to get a master's degree in computer science in the USA?,I put the butterfly wing on the table and it broke.,B,A,M
3ZXV7Q5FJANP0753HG0VZO5C1URFCT,35,247,0.956521739130435,15,1,1,986840,986695,BMA,5,5,1,John became dead because he could not inhale air.,The end of John 's life was the result of his inability to take a breath.,"The European Union was due Monday to demand Iran accept "" urgently and unconditionally "" tougher nuclear inspections and to link compliance with a pending trade deal .","The European Union was due on Monday to demand that Iran accept "" urgently and unconditionally "" tougher inspections of its nuclear program , linking compliance to a pending trade deal .",How can you get a list of cell phone numbers and names?,"Paul tried to call George on the phone, but he wasn't successful.",B,A,M
3OND0WXMHVEOB1GN8XUQSXHS2LHHEM,35,279,0.956521739130435,15,1,1,1625195,1625499,ABM,5,3,0,John became dead because he could not inhale air.,Not being able to take a breath resulted in the loss of John 's life.,"In an appearance before a parliamentary committee on Tuesday , Mr. Blair suggested that only "" evidence of weapons programs "" rather than the weapons themselves would be uncovered .","On Tuesday , Blair suggested that only "" evidence of weapons programs "" rather than the weapons themselves would be uncovered .",There is a shark swimming right below that duck!,Does your face get prettier when you lose a lot of weight?,B,A,B
36JW4WBR05JGHFGJ38EWAF2SEMWHF4,35,280,0.956521739130435,15,1,1,701817,701797,AMB,5,4,0,John became dead because he could not inhale air.,Not being able to take a breath resulted in the end of John 's life.,It is the first major industrial plant for Leighton as project manager .,It is the first major industrial plant project that Leighton has managed .,The trophy doesn't fit into the brown suitcase because it is too large.,What is the red velvet cake frosting made of?,B,A,B
3SA4EMRVJU1HXSZHJ33GGHHFUBHP0D,35,391,0.956521739130435,15,1,1,801575,801692,MAB,5,4,0,John became dead because he could not inhale air.,The end of the life of John resulted from him being unable to take a breath.,"Before Thursday 's matinee , Baker called a clubhouse meeting , concerned that the controversy had distracted the Cubs .","Baker called a pregame meeting , believing the the corked-bat episode had distracted the team .","Joe's uncle can still beat him at tennis, even though he is 30 years older.",How widely accepted are credit cards at small businesses and restaurants in Moldova?,B,A,M
3CVDZS288GZ29THUU5U92KAOV8VMFI,136,35,0.956521739130435,15,1,1,1643243,1643049,MBA,5,1,0,The cause of the loss of John 's life was his inability to take a breath.,John became dead because he could not inhale air.,Blair 's government included the charge that Saddam sought uranium from Niger in a September 2002 dossier setting out the case for military action .,Britain included the accusation in a September 2002 dossier setting out the case for war in Iraq .,The large ball crashed right through the table because it was made of steel.,"If I remove a friend on Snapchat, how can I see the last saved messages?",B,A,B
3RWO3EJELG8H4HKZFM7GUM0PZ3NP1G,137,34,0.956521739130435,15,0,1,2846992,2847045,BAM,4,2,1,The cause of the loss of John 's life was his inability to inhale air.,John became dead because he could not take a breath.,The work appears in the Oct. 22 / 29 issue of the Journal of the American Medical Association .,The study appears in Wednesday 's Journal of the American Medical Association ( news - web sites ) .,Sam broke both his ankles and he's walking with crutches.,"What was life like for humans that lived 200,000 years ago?",M,A,B
3IYI9285WRZ559RZ06RGEMX4U18CJT,139,35,0.956521739130435,15,1,1,1462789,1463165,BMA,5,3,0,The cause of the end of John 's life was his inability to take a breath.,John became dead because he could not inhale air.,""" We 're pleased with the judge 's decision , "" said Mark Herr , spokesman for Merrill Lynch .",""" We are very pleased with the judge 's decision , "" Merrill said yesterday .",Grant worked hard to harvest his beans so he and his family would have enough to eat that winter.,What are some awesome and interesting farewell party games for college students?,B,A,B
38EHZ67RILR8NTDP5P0RK5A0WNVMGH,140,34,0.956521739130435,15,1,1,1852060,1852172,ABM,5,4,0,The cause of the end of John 's life was his inability to inhale air.,John became dead because he could not take a breath.,"Still , analysts said they were disappointed by the company 's 68 million pretax charge for weather-related and test failure costs on its Polar Tanker crude oil tanker program .",Analysts also said they were disappointed by the company 's $ 68 million pre-tax charge for weather-related and overhead costs on its Polar Tanker crude oil tanker program .,"Jane knocked on the door, and Susan answered it.",How do you sync your Facebook contacts to your iPhone?,B,A,B
33KMQD9OFID69XV18GU8VA0H2VH77O,194,34,0.956521739130435,15,0,1,2532424,2532313,AMB,3,5,0,Not being able to inhale air was the cause of John 's loss of life.,John became dead because he could not take a breath.,""" We started our investigation of the child porn ring last year in August and soon realized that it was a big thing , "" Mr. Beer said .",""" We started our investigation of the child porn ring last year in August and soon realised that it was a big thing , "" Mr Beer told a packed press conference .",Dan had to stop Bill from toying with the injured bird.,How far have African Americans advanced socially and economically since the Civil Rights era?,M,A,B
3OID399FXF6Z5ZBHHCV6JUNUMU3FDT,225,35,0.956521739130435,15,0,1,1369754,1369906,MAB,4,3,0,The result of John 's inability to take a breath was the loss of his life.,John became dead because he could not inhale air.,"While some other parts of Africa have been used as staging grounds for the terror group , Malawi previously had not been a major focus of investigations into al-Qaida .","While some other parts of Africa have been used as Al Qaeda staging grounds , Malawi had previously not been a major focus of investigations into the group .","Tom said ""Check"" to Ralph as he took his bishop.",What is the main cause of overheating of mobile phones and how to get rid of it?,M,A,B
3RIHDBQ1NDXMNP80PVI955M1BN8MHG,226,35,0.956521739130435,15,0,1,1089874,1089925,MBA,3,4,1,The result of John 's inability to take a breath was the end of his life.,John became dead because he could not inhale air.,"PCCW 's chief operating officer , Mike Butcher , and Alex Arena , the chief financial officer , will report directly to Mr So .",Current Chief Operating Officer Mike Butcher and Group Chief Financial Officer Alex Arena will report to So .,"I sallied out for a bit of food, more to pass the time than because I wanted it.",Which is the best book for learning Python language for beginners?,M,A,B
3XD2A6FGFMTW6E3MBGQ34XNJKZI9SP,244,35,0.956521739130435,15,1,1,3281508,3281496,BAM,5,5,0,The loss of John 's life was the result of his inability to take a breath.,John became dead because he could not inhale air.,The poll shows Bill White supported by 53 percent of surveyed voters -- Orlando Sanchez by 35 percent .,"The latest 11 News / Houston Chronicle Poll shows White supported by 53 percent of surveyed voters , far ahead of Orlando Sanchez 's 35 percent .",Joe paid the detective after he received the final report on the case.,Why do I get heartburn/stomach aches when I don't eat for extended periods of time?,B,A,B
3W31J70BARV0GTXHIRRSF1XH9Q8CKS,247,35,0.956521739130435,15,1,1,701817,701797,BMA,5,3,0,The end of John 's life was the result of his inability to take a breath.,John became dead because he could not inhale air.,It is the first major industrial plant for Leighton as project manager .,It is the first major industrial plant project that Leighton has managed .,"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.",Why do professional bikers keep their motorcycle's headlamp on even during the day?,B,A,B
3909MD9T2YG4X5PHD76QPC5FM64FEM,279,35,0.956521739130435,15,0,1,2609667,2609889,ABM,5,5,0,Not being able to take a breath resulted in the loss of John 's life.,John became dead because he could not inhale air.,Kay was sent to Iraq to co-ordinate efforts to find the weapons that US intelligence reported before the invasion that ousted Iraqi president Saddam Hussein had .,Kay was sent to Iraq this summer to coordinate efforts to find the weapons that U.S. intelligence reported before the war that Saddam Hussein had .,Joe has sold his house and bought a new one a few miles away.,"What is your favourite Game of Thrones meme, joke or witty one-liner?",B,A,B
3PKVGQTFIGJZ60BH43IED4BE76KRY8,280,35,0.956521739130435,15,0,1,228853,228814,AMB,5,5,0,Not being able to take a breath resulted in the end of John 's life.,John became dead because he could not inhale air.,Happy Family has ex-Night Court star Larroquette and Christine Baranski as a couple whose children move back home after college .,Happy Family has ex-Night Court star Larroquette and Christine Baranski as a couple with grown children who won 't leave their lives .,Dad said that his boss at the railroad company would not want anyone but him to work in the office.,What were the main and most important political causes of World War 1?,M,A,B
3VIVIU06FJBMJKJKVD0U5HNGB0NMI9,391,35,0.956521739130435,15,1,1,1820031,1819733,MAB,5,5,0,The end of the life of John resulted from him being unable to take a breath.,John became dead because he could not inhale air.,Seven of the nine major Democratic presidential candidates will address the forum .,Seven of nine Democratic candidates for president also said they would participate in the conference Monday .,"The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.",Which is a good inpatient drug and alcohol rehab center near Mitchell County IA?,B,A,M
3RWSQDNYL8LW3JPD8IQW7UQFY7JFF4,392,34,0.956521739130435,15,1,1,1721438,1721593,MBA,5,3,0,The end of the life of John resulted from him being unable to inhale air.,John became dead because he could not take a breath.,Three other fires in or near the park were contained on Wednesday .,Two fires inside the park and one just outside the park were contained Wednesday afternoon .,Jim comforted Kevin because he was so upset.,How should I convince a startup investor that he should invest in my idea?,B,A,M
31MBOZ6PANQB0ZFZ3R3TU1AWYQDCLV,17,186,0.956521739130435,14,1,1,1464799,1464834,BAM,5,4,0,John lost his life because he could not inhale air.,Not being able to take a breath was the cause of John 's death.,"Simon shares Tuesday closed up 42 cents , or about 1 percent , at $ 39.45 on the New York Stock Exchange .",Simon Property 's shares rose 42 cents to $ 39.45 at the close of New York Stock Exchange trading Tuesday .,"Jackson was greatly influenced by Arnold, though he lived two centuries earlier.",What are some ways to cancel my People magazine subscription?,B,A,B
3VW0145YLXBIEV3QDVLUHI2GOFCMJL,17,223,0.956521739130435,14,0,1,610530,610589,BMA,5,5,0,John lost his life because he could not inhale air.,The result of John 's inability to take a breath was the death of him.,""" The steps that the Iranians claim to have taken in terms of capturing al-Qaida are insufficient , "" said Ari Fleischer , the White House press secretary .",""" The steps that the Iranians claim to have taken in terms of capturing al-Qaeda are insufficient , "" Fleischer said .","There is a pillar between me and the stage, and I can't see around it.",What circumstances make the death penalty justified in Georgia?,B,A,M
32204AGAAABMVFCEESKES024F1WHG3,34,231,0.956521739130435,14,0,1,2425362,2425341,ABM,5,4,0,John became dead because he could not take a breath.,The result of John 's inability to inhale air was the loss of his life.,A company spokeswoman declined to say how much Qwest receives in annual revenue from government contracts .,"A Qwest spokeswoman , Kate Varden , declined to say how much in sales the company received from the United States government .","Archaeologists have concluded that humans lived in Laputa 20,000 years ago.",How can you use tempura batter with soda water?,M,A,B
32ZCLEW0BYJOZY035BDMYMWBTKNJPE,34,232,0.956521739130435,14,1,1,2529318,2529415,AMB,4,4,0,John became dead because he could not take a breath.,The result of John 's inability to inhale air was the end of his life.,"That triggered a 47-hour police standoff that inconvenienced thousands of commuters , as traffic backed up in Downtown Washington and northern Virginia .",His protest led to a 47-hour standoff with police that caused huge traffic jams in downtown Washington and northern Virginia .,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.",What's the deal with skeletons being banned in video games in China?,M,A,B
375VSR8FVV8ZBQLM0PKXRBKGD0ORZZ,34,245,0.956521739130435,14,1,1,715320,715197,MAB,5,3,0,John became dead because he could not take a breath.,The loss of John 's life was the result of his inability to inhale air.,"Clijsters was simply too complete and powerful for the Spanish veteran Conchita Martínez in her quarterfinal , winning , 6-2 , 6-1 .","Clijsters was simply too powerful for Spanish veteran Conchita Martinez , winning 6-2 , 6-1 .",Bill passed the half-empty plate to John because he was hungry.,Why doesn't the United States have a mixed population like Mexico?,B,A,M
38DCH97KHG19ZA1I5OSBYRMLYG9JQ5,34,248,0.956521739130435,14,1,1,2759665,2759733,MBA,0,3,1,John became dead because he could not take a breath.,The end of John 's life was the result of his inability to inhale air.,The Foundation said telephone support would cost $ 39.95 per incident .,The group is also offering end user telephone support for $ 39.95 per incident .,Sara borrowed the book from the library because she needs it for an article she is working on.,Is it normal for my partner to constantly bring up my past relationships in discussions or arguments?,B,B,B
356TQKY9XEWA9B0KILME9AWCDFN78B,34,285,0.956521739130435,14,1,1,1852616,1852984,BAM,5,4,0,John became dead because he could not take a breath.,Not being able to inhale air resulted in the loss of John 's life.,"For legal purposes , J.P. Morgan and Citigroup neither admit nor deny the SEC charges under the settlements .",The banks did not admit or deny the SEC charges under the settlements .,"John promised Bill to leave, so an hour later he left.",Who is your favorite classical composer and what is your favorite classical piece?,B,A,B
3DGDV62G7N8OT22VYQ7UZ5AUR91P2X,34,286,0.956521739130435,14,1,1,1627107,1626909,BMA,5,5,0,John became dead because he could not take a breath.,Not being able to inhale air resulted in the end of John 's life.,House Democrats are planning a series of town meetings throughout the nation this month to lay out their complaints about the House bill .,House Democrats plan town meetings this month to lay out their complaints about the House bill .,"When Fred first saw my father, he was twelve years old.",I want to start blogging and want to create a cool blog but I don't know what to write about.,B,A,B
3L60IFZKF2H0VB7PYY2WD0E5U19HH2,35,379,0.956521739130435,14,1,1,1777874,1777965,ABM,5,5,0,John became dead because he could not inhale air.,The loss of John 's life resulted from him being unable to take a breath.,Ms O 'Hare will take time off from studying history at New York University to be in Australia during October for national breast cancer awareness week .,"Ms O 'Hare , who has taken time out from studying history at New York University , will be in Australia throughout October in which is national breast cancer awareness week .",Mark heard Steve's feet going down the ladder.,"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Port Arthur?",M,A,B
3X55NP42ENFDEKYE2QLZIFFMXN1P38,35,385,0.956521739130435,14,1,1,1708624,1708562,AMB,5,2,0,John became dead because he could not inhale air.,The end of John 's life resulted from him being unable to take a breath.,"The vulnerability affects an interface with RPC that deals with message exchange over TCP / IP port 135 , according to Microsoft .","The security hole was detected into the section of RPC that deals with message exchange over TCP / IP , Microsoft explained .",Billy cried because Toby wouldn't accept his toy.,"The technology-laced Nasdaq Composite Index .IXIC lost 2 points, or 0.18 percent, to 1,649.",M,A,B
3MD8CKRQZYM9BBGII3HB3HWQU2BJR6,186,17,0.956521739130435,14,0,1,1246493,1246786,MAB,1,4,2,Not being able to take a breath was the cause of John 's death.,John lost his life because he could not inhale air.,The most serious breach of royal security in recent years occurred in 1982 when 30-year-old Michael Fagan broke into the queen 's bedroom at Buckingham Palace .,"It was the most serious breach of royal security since 1982 when an intruder , Michael Fagan , found his way into the Queen 's bedroom at Buckingham Palace .","The film is the second of a trilogy, which will wrap up in November with The Matrix Revolutions.",McGill also said a dark glove was stuffed into a hole that had been cut in the Caprice's trunk.,M,A,M
3RDTX9JRTX0ANGJUNDSS96RNXL5790,223,17,0.956521739130435,14,0,1,1246488,1246781,MBA,5,4,0,The result of John 's inability to take a breath was the death of him.,John lost his life because he could not inhale air.,"Police said they arrested a man on suspicion of burglary , which covers unauthorized entry .","Mr Barschak was arrested on suspicion of burglary , which covers unauthorised entry .","MEN who drink tea, particularly green tea, can greatly reduce their risk of prostate cancer, a landmark WA study has found.",A girl on Facebook doesn't accept my friend request but still talks to me through messages.,M,A,B
3CKVGCS3PF4EAKF9BK7ABMMQHVOS0W,231,34,0.956521739130435,14,0,1,1476228,1476171,BAM,4,4,0,The result of John 's inability to inhale air was the loss of his life.,John became dead because he could not take a breath.,"Malvo , 18 , will go on trial Nov. 10 for the fatal shooting of FBI analyst Linda Franklin outside a Home Depot store in Falls Church , Va .","Malvo , 18 , is charged in the fatal shooting of FBI analyst Linda Franklin outside a Home Depot store in Falls Church .",McGill also detailed the hole that had been cut in the Caprice's trunk.,The euro's rise against the yen and speculation of Japanese intervention helped the dollar firm to 117.25 yen.,M,A,B
3NFWQRSHVDD2HJL8J2WEPFQRZMJFG3,232,34,0.956521739130435,14,0,1,1479862,1479870,BMA,4,2,0,The result of John 's inability to inhale air was the end of his life.,John became dead because he could not take a breath.,"In January 2000 , notebooks represented less than 25 percent of sales volume .","That compares with January 2000 , when laptops represented less than 25 percent of sales volume , NPD said .","The broad Standard & Poor's 500 Index .SPX inched up 3 points, or 0.32 percent, to 970.","The supermarket chains have used managers and replacement workers to keep their stores open, often at reduced hours.",B,A,B
3KWGG5KP6I1V6HXK3348UEPLYV3CMX,245,34,0.956521739130435,14,0,1,1771984,1771964,ABM,5,5,0,The loss of John 's life was the result of his inability to inhale air.,John became dead because he could not take a breath.,"NASA officials are delicately seeking advice on what to do with the 84,000 shattered pieces from Columbia , cautiously broaching the idea of putting some shuttle parts on display .","NASA officials are seeking advice about what to do with the 84,000 shattered pieces of the space shuttle Columbia , cautiously broaching the idea of putting some parts on display .",The three grocery chains were relying on store managers and replacement workers to keep their stores open.,"The broader Standard & Poor's 500 Index <.SPX> shed 2.38 points, or 0.24 percent, at 995.10.",M,A,M
