,Source File,Sentence Pair,Word Counts,Gold Standard Value,Edit Distance,Jaccard Distance,BLEU Metric Score
78,test-STS,"['And yes, Marilyn Monroe is definitely part of the story, titled ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin.""', 'Note the subheading of this terrible parable in the ""American Masters"" series, ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin.""\n']","[21, 22]",2.6,15,0.5294117647058824,0.7986111111111112
79,test-STS,"['Gilroy police and FBI agents described Gehring as cooperative, but said Saturday that he had revealed nothing about what had happened to the children.', 'Saturday, officials in California described Gehring as cooperative — but said he has revealed nothing about what has happened to the children.\n']","[24, 22]",3.8,10,0.4,0.878979453327161
80,test-STS,"[""Scribner's body was found floating in the city's Portage Bay, where he lived with his wife in a houseboat."", ""A kayaker found Dr. Scribner's body floating near the doctor's houseboat in Portage Bay, where he was eating lunch when his wife, Ethel, left for an appointment.\n""]","[19, 27]",3.2,21,0.5,0.6358024691358025
81,test-STS,"['After protesters rushed the stage and twice cut power to the microphone, Hedges drew the speech to an early close.', 'After protesters rushed the stage and twice cut power to the microphone, Hedges cut his speech short.\n']","[20, 17]",5.0,6,0.2857142857142857,0.8454308553340121
82,test-STS,"['A passer-by found Ben hiding along a dirt road in Spanish Fork Canyon about 7 p.m., with his hands still taped together but his feet free.', 'A passer-by found the boy hiding along a dirt road in Spanish Fork Canyon about 7 p.m. Thursday, with his feet free but his hands still taped.\n']","[26, 27]",4.0,10,0.16666666666666666,0.9230769230769231
83,test-STS,"['Analysts expected earnings of 27 cents a share on revenue of $17.7 billion, Thomson First Call says.', 'Hewlett-Packard is putting in for a second-quarter profit of $659 million, or 29 cents a share, on revenue of $18 billion.\n']","[17, 21]",1.2,21,0.6774193548387096,0.6747967479674797
84,test-STS,"['Doctors say one or both boys may die, and that some brain damage is possible if they survive.', 'Doctors said that one or both of the boys may die and that if they survive, some brain damage is possible.\n']","[18, 21]",5.0,12,0.17391304347826086,0.8598130841121495
85,test-STS,"['Another was in serious condition at Northwest Medical Center in Springdale.', 'At Northwest Medical Center of Washington County in Springdale, one child is in serious condition.\n']","[11, 15]",3.8,15,0.5789473684210527,0.7272727272727273
86,test-STS,"['""I started crying and yelling at him, \'What do you mean, what are you saying, why did you lie to me?\'""', ""Gulping for air, I started crying and yelling at him, 'What do you mean?\n""]","[21, 14]",3.8,18,0.5185185185185185,0.6261207657560148
87,test-STS,"[""Sean Harrigan, president of the California Public Employees' Retirement System, also suggested paring down the NYSE's 27-member board, changing its composition and making it more accountable."", ""Sean Harrigan, president of the California Public Employees' Retirement System, also suggested paring the NYSE's 27-member board and allotting more seats to investors outside the securities industry.\n""]","[26, 27]",3.4,11,0.3888888888888889,0.865
88,test-STS,"['Also missing is Al Larsen, 31, of Fort Worth, Texas, who was in another vehicle swept off the turnpike.', 'The other victim recovered Tuesday morning was Al Larsen, 31, of Fort Worth, Texas.\n']","[19, 14]",2.2,17,0.6296296296296297,0.6931229809243448
89,test-STS,"['British-based GlaxoSmithKline Plc said earlier this year it would cut off supplies to Canadian drugstores that ship to the United States.', 'GlaxoSmithKline, the UK drugmaker, has said it would cut off supplies to Canadian stores shipping drugs to the US.\n']","[21, 19]",4.2,13,0.6206896551724138,0.7468838630795164
90,test-STS,"['The festival kicked off yesterday one day after the Competition Commission delivered its final verdict to the Government on the proposed £4.1 billion merger.', 'The Competition Commission delivered its verdict yesterday on the proposed merger of the two big ITV players, Carlton and Granada.\n']","[24, 20]",2.818,22,0.625,0.7448688528569969
91,test-STS,"['The Swedish central bank was also meeting on Wednesday and widely expected to announce a cut on Thursday.', 'The Swedish central bank, also meeting on Wednesday, is widely expected to announce a cut on Thursday of as much as half a percentage point.\n']","[18, 25]",3.2,11,0.38461538461538464,0.7304964539007093
92,test-STS,"['It was the third time in four years that wildfires forced the park to close.', 'For the third time in four years wildfires closed Mesa Verde National Park, the country’s only park dedicated to ancient ruins.\n']","[15, 21]",3.0,16,0.6551724137931034,0.5625
93,test-STS,"[""GM, the world's largest automaker, has 115,000 active UAW workers and another 340,000 retirees and spouses."", 'They cover more than 300,000 UAW workers and 500,000 retirees and spouses.\n']","[16, 12]",2.4,13,0.75,0.6004665902241945
94,test-STS,"['His 1996 Chevrolet Tahoe was found abandoned in a Virginia Beach, Va., parking lot June 25.', 'His sport utility vehicle was found June 25, abandoned without its license plates in Virginia Beach, Va.\n']","[16, 17]",3.6,16,0.5769230769230769,0.7428571428571429
95,test-STS,"['She said he persisted and she eventually allowed him to fix her bike while she sat in the front seat of his car.', 'She said she eventually allowed him to fix her bike while she sat in his car, and they chatted.\n']","[23, 19]",3.875,9,0.34615384615384615,0.8112116530201718
96,test-STS,"['Heatley was sixth in the league in goals last season with 41 and ninth in points with 89.', 'Heatley led Atlanta in scoring last season with a team-record 41 goals and 48 assists.\n']","[18, 15]",3.0,13,0.6086956521739131,0.7638461234289238
97,test-STS,"[""Daniels said he doesn't know what Bush will have to say about him at tonight's $2,000-per-person presidential fund-raiser."", ""Daniels said he doesn't know what Bush will say at tonight's $2,000-per-person reception to raise funds for his presidential re-election bid.\n""]","[18, 21]",4.4,12,0.3793103448275862,0.8169014084507042
98,test-STS,"['A three-judge panel of the 11th U.S. Circuit Court of Appeals ruled late Friday that the small size, limited use and secular purpose make the image legitimate.', 'A three-judge panel of the 8th U.S. Circuit Court of Appeals in St. Louis overturned a ruling issued last year that supported the ordinance.\n']","[27, 24]",2.8,17,0.7105263157894737,0.7802774420992331
99,test-STS,"['""Tony\'s not feeling well,"" Spurs coach Gregg Popovich said.', ""We're thrilled to be up 3-2,'' Coach Gregg Popovich said Wednesday.\n""]","[9, 11]",1.6,10,0.7391304347826086,0.6764705882352942
100,test-STS,"['Electronic Data Systems Corp. Thursday said the Securities and Exchange Commission has asked the company for documents related to its large contract with the U.S. Navy.', 'In a regulatory filing, EDS said the SEC had asked for information related to its troubled IT outsourcing contract with the US Navy.\n']","[26, 23]",3.2,18,0.7105263157894737,0.7108295095566128
101,test-STS,"[""The company claims it's the largest single Apple VAR Xserve sale to date."", 'The company claimed it is the largest sale of Xserves by an Apple retailer.\n']","[13, 14]",5.0,9,0.6363636363636364,0.868421052631579
102,test-STS,"['Only 29 families of frogs are known and most were identified and described in the mid-1800s and the last in 1926.', 'Only 29 families of frogs are known, most of which were named by the mid-1800s.\n']","[21, 15]",3.8,11,0.45454545454545453,0.6040687919803859
103,test-STS,"['Officials at Brandeis said this was an ""extremely heartrending"" time for the campus.', '""This is an extremely heartrending time for the entire Brandeis University community.\n']","[13, 12]",4.4,12,0.5714285714285714,0.7790697674418605
104,test-STS,"['North American markets finished mixed in directionless trading Monday as earnings season begins to slow and economic indicators move into the spotlight.', 'North American markets grabbed early gains Monday morning, as earnings season begins to slow and economic indicators take the spotlight.\n']","[22, 20]",3.8,8,0.4482758620689655,0.8177846512082122
105,test-STS,"['As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.', 'Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls.\n']","[26, 21]",3.8,11,0.41935483870967744,0.8530058411947627
106,test-STS,"['The value will total about $124 million, including convertible securities, according to Corel.', 'Including convertible securities, the total estimated value of the deal is $124 million, according to Corel.\n']","[13, 16]",5.0,14,0.45454545454545453,0.8165137614678899
107,test-STS,"[""The Standard & Poor's 500 stock index ended the quarter up 120 points, a gain of 14 percent, the best performance for that broad market benchmark since 1998."", ""The Standard and Poor's 500-stock index, a broad collection of equities representing leading companies, finished its best quarter yesterday since the last three months of 1998.\n""]","[28, 26]",3.2,25,0.6511627906976745,0.7966101694915254
108,test-STS,"['The next court session will be when the three-judge tribunal announces its verdict in mid-February.', ""The court's three-judge tribunal was expected to give its verdict next February.\n""]","[15, 12]",4.2,11,0.6363636363636364,0.7315378742696763
109,test-STS,"['He started in the 1983 Super Bowl, which Miami lost 27-17 to Washington.', ""He played four seasons in Miami, including the Dolphins' 27-17 loss to Washington in the Super Bowl.\n""]","[13, 17]",3.0,15,0.5,0.6435643564356436
110,test-STS,"['The consensus among Wall Street analysts was for a loss of 28 cents a share.', 'Analysts surveyed by First Call were expecting sales of $723 million and a loss of 28 cents a share.\n']","[15, 19]",3.0,13,0.7407407407407407,0.693069306930693
